Timestamps,AWS/EC2 NetworkIn,AWS/EC2 NetworkOut,System/Linux MemoryUtilization,AWS/EC2 CPUUtilization
2019-09-15 00:00:00+00:00,1585.0,2165.0,0,0.0
2019-09-15 00:05:00+00:00,2117.0,2733.0,0,0.169491525423719
2019-09-15 00:10:00+00:00,220.0,100.0,0,0.0
2019-09-15 00:15:00+00:00,56.0,28.0,0,0.0
2019-09-15 00:20:00+00:00,220.0,100.0,0,0.166666666666705
2019-09-15 00:25:00+00:00,56.0,28.0,0,0.0
2019-09-15 00:30:00+00:00,17595.0,8084.0,0,0.169491525423719
2019-09-15 00:35:00+00:00,56.0,28.0,0,0.0
2019-09-15 00:40:00+00:00,1569.0,2165.0,0,0.0
2019-09-15 00:45:00+00:00,220.0,100.0,0,0.169491525423719
2019-09-15 00:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 00:55:00+00:00,1719.0,2385.0,0,0.166666666666657
2019-09-15 01:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 01:05:00+00:00,392.0,205.0,0,0.0
2019-09-15 01:10:00+00:00,2852.0,5893.0,0,0.163934426229499
2019-09-15 01:15:00+00:00,56.0,28.0,0,0.0
2019-09-15 01:20:00+00:00,56.0,84.0,0,0.166666666666705
2019-09-15 01:25:00+00:00,1569.0,2165.0,0,0.0
2019-09-15 01:30:00+00:00,882.0,458.0,0,0.0
2019-09-15 01:35:00+00:00,2202.0,1949.0,0,0.166666666666657
2019-09-15 01:40:00+00:00,56.0,28.0,0,0.0
2019-09-15 01:45:00+00:00,56.0,28.0,0,0.0
2019-09-15 01:50:00+00:00,56.0,28.0,0,0.169491525423719
2019-09-15 01:55:00+00:00,56.0,28.0,0,0.0
2019-09-15 02:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 02:05:00+00:00,56.0,28.0,0,0.163934426229499
2019-09-15 02:10:00+00:00,1569.0,2165.0,0,0.0
2019-09-15 02:15:00+00:00,56.0,84.0,0,0.163934426229499
2019-09-15 02:20:00+00:00,56.0,28.0,0,0.0
2019-09-15 02:25:00+00:00,166.0,320.0,0,0.0
2019-09-15 02:30:00+00:00,2589.0,3135.0,0,0.163934426229545
2019-09-15 02:35:00+00:00,56.0,28.0,0,0.0
2019-09-15 02:40:00+00:00,56.0,28.0,0,0.0
2019-09-15 02:45:00+00:00,56.0,28.0,0,0.163934426229499
2019-09-15 02:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 02:55:00+00:00,2113.0,2917.0,0,0.169491525423719
2019-09-15 03:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 03:05:00+00:00,56.0,28.0,0,0.0
2019-09-15 03:10:00+00:00,170.0,276.0,0,0.166666666666657
2019-09-15 03:15:00+00:00,166.0,232.0,0,0.0
2019-09-15 03:20:00+00:00,56.0,84.0,0,0.0
2019-09-15 03:25:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 03:30:00+00:00,882.0,458.0,0,0.0
2019-09-15 03:35:00+00:00,1585.0,2165.0,0,0.0
2019-09-15 03:40:00+00:00,166.0,144.0,0,0.163934426229545
2019-09-15 03:45:00+00:00,492.0,9317.0,0,0.0
2019-09-15 03:50:00+00:00,112.0,108.0,0,0.0
2019-09-15 03:55:00+00:00,56.0,28.0,0,0.163934426229499
2019-09-15 04:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 04:05:00+00:00,170.0,320.0,0,0.0
2019-09-15 04:10:00+00:00,56.0,28.0,0,0.169491525423719
2019-09-15 04:15:00+00:00,56.0,28.0,0,0.0
2019-09-15 04:20:00+00:00,56.0,84.0,0,0.0
2019-09-15 04:25:00+00:00,1569.0,2165.0,0,0.169491525423719
2019-09-15 04:30:00+00:00,938.0,483.0,0,0.0
2019-09-15 04:35:00+00:00,56.0,28.0,0,0.163934426229499
2019-09-15 04:40:00+00:00,56.0,28.0,0,0.0
2019-09-15 04:45:00+00:00,220.0,276.0,0,0.0
2019-09-15 04:50:00+00:00,494.0,8157.0,0,0.0
2019-09-15 04:55:00+00:00,228.0,104.0,0,0.169491525423767
2019-09-15 05:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 05:05:00+00:00,56.0,28.0,0,0.0
2019-09-15 05:10:00+00:00,56.0,28.0,0,0.169491525423719
2019-09-15 05:15:00+00:00,56.0,28.0,0,0.0
2019-09-15 05:20:00+00:00,1585.0,2165.0,0,0.163934426229499
2019-09-15 05:25:00+00:00,346.0,193.0,0,0.0
2019-09-15 05:30:00+00:00,3100.0,3756.0,0,0.166666666666657
2019-09-15 05:35:00+00:00,370.0,285.0,0,0.0
2019-09-15 05:40:00+00:00,17158.0,21668.0,0,0.327868852458998
2019-09-15 05:45:00+00:00,17224.0,21668.0,0,0.338983050847438
2019-09-15 05:50:00+00:00,18787.0,23805.0,0,0.338983050847438
2019-09-15 05:55:00+00:00,17190.0,21668.0,0,0.333333333333314
2019-09-15 06:00:00+00:00,16944.0,21668.0,0,0.333333333333314
2019-09-15 06:05:00+00:00,15097.0,18963.0,0,4.2622950819672
2019-09-15 06:10:00+00:00,174.0,296.0,0,0.0
2019-09-15 06:15:00+00:00,1569.0,2549.0,0,0.163934426229499
2019-09-15 06:20:00+00:00,417.0,256.0,0,1.52542372881357
2019-09-15 06:25:00+00:00,1569.0,2165.0,0,0.163934426229499
2019-09-15 06:30:00+00:00,882.0,458.0,0,0.0
2019-09-15 06:35:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 06:40:00+00:00,340.0,512.0,0,1.52542372881357
2019-09-15 06:45:00+00:00,56.0,28.0,0,0.0
2019-09-15 06:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 06:55:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 07:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 07:05:00+00:00,220.0,100.0,0,0.0
2019-09-15 07:10:00+00:00,1945.0,2105.0,0,0.166666666666657
2019-09-15 07:15:00+00:00,24424.0,24556.0,0,0.333333333333362
2019-09-15 07:20:00+00:00,3192.0,2561.0,0,0.0
2019-09-15 07:25:00+00:00,4563.0,1630.0,0,0.169491525423719
2019-09-15 07:30:00+00:00,882.0,458.0,0,0.0
2019-09-15 07:35:00+00:00,1643.0,2285.0,0,0.169491525423719
2019-09-15 07:40:00+00:00,1585.0,2165.0,0,0.0
2019-09-15 07:45:00+00:00,578.0,1417.0,0,0.169491525423719
2019-09-15 07:50:00+00:00,2324.0,3329.0,0,0.0
2019-09-15 07:55:00+00:00,56.0,28.0,0,0.169491525423767
2019-09-15 08:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 08:05:00+00:00,220.0,100.0,0,0.0
2019-09-15 08:10:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 08:15:00+00:00,56.0,28.0,0,0.0
2019-09-15 08:20:00+00:00,2292.0,5005.0,0,0.166666666666657
2019-09-15 08:25:00+00:00,56.0,28.0,0,0.0
2019-09-15 08:30:00+00:00,938.0,483.0,0,0.0
2019-09-15 08:35:00+00:00,2070.0,1897.0,0,0.166666666666657
2019-09-15 08:40:00+00:00,56.0,28.0,0,0.0
2019-09-15 08:45:00+00:00,56.0,28.0,0,0.0
2019-09-15 08:50:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 08:55:00+00:00,56.0,28.0,0,0.0
2019-09-15 09:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 09:05:00+00:00,56.0,28.0,0,0.169491525423767
2019-09-15 09:10:00+00:00,2167.0,2733.0,0,0.0
2019-09-15 09:15:00+00:00,2124.0,5143.0,0,0.166666666666657
2019-09-15 09:20:00+00:00,56.0,84.0,0,0.0
2019-09-15 09:25:00+00:00,2167.0,2733.0,0,0.0
2019-09-15 09:30:00+00:00,2101.0,5113.0,0,0.163934426229499
2019-09-15 09:35:00+00:00,56.0,28.0,0,0.0
2019-09-15 09:40:00+00:00,228.0,104.0,0,0.166666666666657
2019-09-15 09:45:00+00:00,1625.0,2193.0,0,0.0
2019-09-15 09:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 09:55:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 10:00:00+00:00,644.0,1469.0,0,0.0
2019-09-15 10:05:00+00:00,56.0,28.0,0,0.0
2019-09-15 10:10:00+00:00,174.0,296.0,0,0.169491525423767
2019-09-15 10:15:00+00:00,578.0,1417.0,0,0.169491525423719
2019-09-15 10:20:00+00:00,56.0,28.0,0,0.0
2019-09-15 10:25:00+00:00,436.0,8157.0,0,0.0
2019-09-15 10:30:00+00:00,882.0,458.0,0,0.166666666666657
2019-09-15 10:35:00+00:00,56.0,28.0,0,0.0
2019-09-15 10:40:00+00:00,56.0,28.0,0,0.0
2019-09-15 10:45:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 10:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 10:55:00+00:00,56.0,28.0,0,0.0
2019-09-15 11:00:00+00:00,2097.0,2595.0,0,0.166666666666657
2019-09-15 11:05:00+00:00,4172.0,4769.0,0,0.166666666666705
2019-09-15 11:10:00+00:00,56.0,28.0,0,0.0
2019-09-15 11:15:00+00:00,1733.0,2289.0,0,0.169491525423719
2019-09-15 11:20:00+00:00,56.0,84.0,0,0.0
2019-09-15 11:25:00+00:00,56.0,28.0,0,0.0
2019-09-15 11:30:00+00:00,17602.0,8084.0,0,0.166666666666657
2019-09-15 11:35:00+00:00,56.0,28.0,0,0.0
2019-09-15 11:40:00+00:00,228.0,104.0,0,0.0
2019-09-15 11:45:00+00:00,164.0,72.0,0,0.169491525423719
2019-09-15 11:50:00+00:00,5100.0,4642.0,0,0.0
2019-09-15 11:55:00+00:00,56.0,28.0,0,0.0
2019-09-15 12:00:00+00:00,2209.0,5403.0,0,0.166666666666657
2019-09-15 12:05:00+00:00,56.0,28.0,0,0.169491525423767
2019-09-15 12:10:00+00:00,56.0,28.0,0,0.0
2019-09-15 12:15:00+00:00,220.0,100.0,0,0.0
2019-09-15 12:20:00+00:00,220.0,144.0,0,0.163934426229499
2019-09-15 12:25:00+00:00,56.0,28.0,0,0.0
2019-09-15 12:30:00+00:00,882.0,458.0,0,0.0
2019-09-15 12:35:00+00:00,56.0,28.0,0,0.0
2019-09-15 12:40:00+00:00,56.0,28.0,0,0.163934426229499
2019-09-15 12:45:00+00:00,220.0,100.0,0,0.0
2019-09-15 12:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 12:55:00+00:00,56.0,28.0,0,0.169491525423719
2019-09-15 13:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 13:05:00+00:00,56.0,28.0,0,0.0
2019-09-15 13:10:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 13:15:00+00:00,56.0,84.0,0,0.0
2019-09-15 13:20:00+00:00,4497.0,1642.0,0,0.166666666666705
2019-09-15 13:25:00+00:00,56.0,28.0,0,0.0
2019-09-15 13:30:00+00:00,938.0,483.0,0,0.166666666666657
2019-09-15 13:35:00+00:00,56.0,28.0,0,0.0
2019-09-15 13:40:00+00:00,56.0,28.0,0,0.0
2019-09-15 13:45:00+00:00,164.0,72.0,0,0.166666666666657
2019-09-15 13:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 13:55:00+00:00,492.0,9317.0,0,0.0
2019-09-15 14:00:00+00:00,568.0,1188.0,0,0.169491525423719
2019-09-15 14:05:00+00:00,56.0,28.0,0,0.0
2019-09-15 14:10:00+00:00,56.0,84.0,0,0.0
2019-09-15 14:15:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 14:20:00+00:00,56.0,28.0,0,0.0
2019-09-15 14:25:00+00:00,426.0,313.0,0,0.0
2019-09-15 14:30:00+00:00,938.0,483.0,0,0.169491525423767
2019-09-15 14:35:00+00:00,56.0,28.0,0,0.0
2019-09-15 14:40:00+00:00,56.0,28.0,0,0.0
2019-09-15 14:45:00+00:00,56.0,28.0,0,0.169491525423719
2019-09-15 14:50:00+00:00,2111.0,2733.0,0,0.0
2019-09-15 14:55:00+00:00,4890.0,6150.0,0,0.166666666666657
2019-09-15 15:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 15:05:00+00:00,1585.0,2165.0,0,0.163934426229499
2019-09-15 15:10:00+00:00,1585.0,2165.0,0,0.163934426229499
2019-09-15 15:15:00+00:00,56.0,28.0,0,0.0
2019-09-15 15:20:00+00:00,274.0,100.0,0,0.0
2019-09-15 15:25:00+00:00,56.0,28.0,0,0.166666666666705
2019-09-15 15:30:00+00:00,938.0,483.0,0,0.0
2019-09-15 15:35:00+00:00,56.0,28.0,0,0.0
2019-09-15 15:40:00+00:00,513197.0,4844.0,0,0.169491525423719
2019-09-15 15:45:00+00:00,56.0,28.0,0,0.0
2019-09-15 15:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 15:55:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 16:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 16:05:00+00:00,1585.0,2165.0,0,0.166666666666657
2019-09-15 16:10:00+00:00,2231.0,2849.0,0,0.0
2019-09-15 16:15:00+00:00,16581.0,7546.0,0,0.163934426229545
2019-09-15 16:20:00+00:00,272912.0,8166.0,0,10.4918032786885
2019-09-15 16:25:00+00:00,56.0,28.0,0,0.166666666666705
2019-09-15 16:30:00+00:00,938.0,739.0,0,0.0
2019-09-15 16:35:00+00:00,168.0,201.0,0,0.0
2019-09-15 16:40:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 16:45:00+00:00,56.0,28.0,0,0.0
2019-09-15 16:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 16:55:00+00:00,56.0,28.0,0,0.0
2019-09-15 17:00:00+00:00,568.0,514.0,0,0.166666666666657
2019-09-15 17:05:00+00:00,166.0,276.0,0,0.0
2019-09-15 17:10:00+00:00,56.0,28.0,0,0.169491525423719
2019-09-15 17:15:00+00:00,56.0,28.0,0,0.0
2019-09-15 17:20:00+00:00,56.0,28.0,0,0.0
2019-09-15 17:25:00+00:00,56.0,28.0,0,0.0
2019-09-15 17:30:00+00:00,938.0,483.0,0,0.166666666666657
2019-09-15 17:35:00+00:00,56.0,28.0,0,0.0
2019-09-15 17:40:00+00:00,370.0,285.0,0,0.0
2019-09-15 17:45:00+00:00,56.0,28.0,0,0.169491525423767
2019-09-15 17:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 17:55:00+00:00,56.0,28.0,0,0.0
2019-09-15 18:00:00+00:00,568.0,458.0,0,0.166666666666657
2019-09-15 18:05:00+00:00,1585.0,2165.0,0,0.0
2019-09-15 18:10:00+00:00,1585.0,2165.0,0,0.166666666666657
2019-09-15 18:15:00+00:00,56.0,28.0,0,0.0
2019-09-15 18:20:00+00:00,56.0,28.0,0,0.0
2019-09-15 18:25:00+00:00,2111.0,2733.0,0,0.169491525423719
2019-09-15 18:30:00+00:00,938.0,483.0,0,0.0
2019-09-15 18:35:00+00:00,56.0,28.0,0,0.169491525423719
2019-09-15 18:40:00+00:00,56.0,28.0,0,0.0
2019-09-15 18:45:00+00:00,56.0,28.0,0,0.0
2019-09-15 18:50:00+00:00,1569.0,2165.0,0,0.166666666666705
2019-09-15 18:55:00+00:00,1585.0,2165.0,0,0.0
2019-09-15 19:00:00+00:00,568.0,458.0,0,0.166666666666657
2019-09-15 19:05:00+00:00,1647.0,2405.0,0,0.0
2019-09-15 19:10:00+00:00,56.0,28.0,0,0.0
2019-09-15 19:15:00+00:00,220.0,100.0,0,0.163934426229499
2019-09-15 19:20:00+00:00,56.0,28.0,0,0.0
2019-09-15 19:25:00+00:00,436.0,225.0,0,0.0
2019-09-15 19:30:00+00:00,938.0,7317.0,0,0.163934426229499
2019-09-15 19:35:00+00:00,172.0,76.0,0,0.0
2019-09-15 19:40:00+00:00,220.0,100.0,0,0.166666666666657
2019-09-15 19:45:00+00:00,382.0,285.0,0,0.0
2019-09-15 19:50:00+00:00,56.0,28.0,0,0.0
2019-09-15 19:55:00+00:00,56.0,28.0,0,0.163934426229545
2019-09-15 20:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 20:05:00+00:00,56.0,84.0,0,0.0
2019-09-15 20:10:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 20:15:00+00:00,16583.0,7494.0,0,0.0
2019-09-15 20:20:00+00:00,56.0,28.0,0,0.0
2019-09-15 20:25:00+00:00,56.0,28.0,0,0.163934426229499
2019-09-15 20:30:00+00:00,1585.0,2165.0,0,0.0
2019-09-15 20:35:00+00:00,2189.0,2761.0,0,0.169491525423719
2019-09-15 20:40:00+00:00,538.0,505.0,0,0.0
2019-09-15 20:45:00+00:00,56.0,80.0,0,0.0
2019-09-15 20:50:00+00:00,56.0,28.0,0,0.169491525423719
2019-09-15 20:55:00+00:00,56.0,28.0,0,0.0
2019-09-15 21:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 21:05:00+00:00,56.0,28.0,0,0.166666666666705
2019-09-15 21:10:00+00:00,56.0,28.0,0,0.0
2019-09-15 21:15:00+00:00,56.0,84.0,0,0.0
2019-09-15 21:20:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 21:25:00+00:00,1569.0,2165.0,0,0.0
2019-09-15 21:30:00+00:00,938.0,483.0,0,0.169491525423719
2019-09-15 21:35:00+00:00,220.0,100.0,0,0.0
2019-09-15 21:40:00+00:00,3082.0,4354.0,0,0.166666666666657
2019-09-15 21:45:00+00:00,220.0,100.0,0,0.0
2019-09-15 21:50:00+00:00,436.0,5893.0,0,0.0
2019-09-15 21:55:00+00:00,112.0,3452.0,0,0.163934426229499
2019-09-15 22:00:00+00:00,1585.0,2165.0,0,0.0
2019-09-15 22:05:00+00:00,1585.0,2165.0,0,0.169491525423767
2019-09-15 22:10:00+00:00,3063.0,2925.0,0,0.166666666666657
2019-09-15 22:15:00+00:00,1677.0,2209.0,0,0.166666666666657
2019-09-15 22:20:00+00:00,2906.0,2733.0,0,0.166666666666657
2019-09-15 22:25:00+00:00,56.0,28.0,0,0.0
2019-09-15 22:30:00+00:00,1569.0,2165.0,0,0.0
2019-09-15 22:35:00+00:00,56.0,28.0,0,0.163934426229499
2019-09-15 22:40:00+00:00,56.0,28.0,0,0.0
2019-09-15 22:45:00+00:00,174.0,296.0,0,0.0
2019-09-15 22:50:00+00:00,56.0,28.0,0,0.166666666666705
2019-09-15 22:55:00+00:00,56.0,28.0,0,0.0
2019-09-15 23:00:00+00:00,568.0,458.0,0,0.0
2019-09-15 23:05:00+00:00,6310.0,4386.0,0,0.163934426229499
2019-09-15 23:10:00+00:00,3192.0,2561.0,0,0.0
2019-09-15 23:15:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-15 23:20:00+00:00,1569.0,2165.0,0,0.0
2019-09-15 23:25:00+00:00,56.0,28.0,0,0.163934426229499
2019-09-15 23:30:00+00:00,938.0,483.0,0,0.0
2019-09-15 23:35:00+00:00,224.0,100.0,0,1.1666666666667
2019-09-15 23:40:00+00:00,166.0,276.0,0,0.0
2019-09-15 23:45:00+00:00,166.0,276.0,0,0.169491525423719
2019-09-15 23:50:00+00:00,220.0,100.0,0,0.0
2019-09-15 23:55:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-16 00:00:00+00:00,568.0,514.0,0,0.0
2019-09-16 00:05:00+00:00,56.0,28.0,0,0.0
2019-09-16 00:10:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-16 00:15:00+00:00,56.0,28.0,0,0.0
2019-09-16 00:20:00+00:00,56.0,28.0,0,0.0
2019-09-16 00:25:00+00:00,1391.0,2025.0,0,0.169491525423719
2019-09-16 00:30:00+00:00,2189.0,2761.0,0,0.0
2019-09-16 00:35:00+00:00,222.0,348.0,0,0.0
2019-09-16 00:40:00+00:00,346.0,420.0,0,0.163934426229545
2019-09-16 00:45:00+00:00,56.0,28.0,0,0.0
2019-09-16 00:50:00+00:00,56.0,28.0,0,0.0
2019-09-16 00:55:00+00:00,394.0,289.0,0,0.169491525423719
2019-09-16 01:00:00+00:00,2202.0,1949.0,0,0.0
2019-09-16 01:05:00+00:00,220.0,100.0,0,0.166666666666657
2019-09-16 01:10:00+00:00,1979.0,2733.0,0,0.0
2019-09-16 01:15:00+00:00,56.0,28.0,0,0.169491525423719
2019-09-16 01:20:00+00:00,56.0,28.0,0,0.0
2019-09-16 01:25:00+00:00,626.0,349.0,0,0.0
2019-09-16 01:30:00+00:00,2070.0,3184.0,0,0.166666666666657
2019-09-16 01:35:00+00:00,56.0,28.0,0,0.0
2019-09-16 01:40:00+00:00,56.0,28.0,0,0.0
2019-09-16 01:45:00+00:00,394.0,285.0,0,0.166666666666705
2019-09-16 01:50:00+00:00,56.0,28.0,0,0.0
2019-09-16 01:55:00+00:00,56.0,84.0,0,0.0
2019-09-16 02:00:00+00:00,1569.0,2165.0,0,0.166666666666657
2019-09-16 02:05:00+00:00,56.0,28.0,0,0.0
2019-09-16 02:10:00+00:00,16583.0,7442.0,0,0.169491525423719
2019-09-16 02:15:00+00:00,1569.0,2165.0,0,0.0
2019-09-16 02:20:00+00:00,56.0,28.0,0,0.0
2019-09-16 02:25:00+00:00,56.0,28.0,0,0.163934426229499
2019-09-16 02:30:00+00:00,938.0,483.0,0,0.0
2019-09-16 02:35:00+00:00,220.0,100.0,0,0.0
2019-09-16 02:40:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-16 02:45:00+00:00,56.0,28.0,0,0.0
2019-09-16 02:50:00+00:00,220.0,100.0,0,0.0
2019-09-16 02:55:00+00:00,56.0,28.0,0,0.166666666666705
2019-09-16 03:00:00+00:00,1777.0,1869.0,0,0.0
2019-09-16 03:05:00+00:00,1843.0,2165.0,0,0.169491525423719
2019-09-16 03:10:00+00:00,1671.0,1994.0,0,0.166666666666657
2019-09-16 03:15:00+00:00,1909.0,1973.0,0,0.0
2019-09-16 03:20:00+00:00,166.0,276.0,0,0.0
2019-09-16 03:25:00+00:00,56.0,72.0,0,0.166666666666657
2019-09-16 03:30:00+00:00,938.0,483.0,0,0.0
2019-09-16 03:35:00+00:00,56.0,28.0,0,0.0
2019-09-16 03:40:00+00:00,166.0,320.0,0,0.163934426229499
2019-09-16 03:45:00+00:00,56.0,28.0,0,0.0
2019-09-16 03:50:00+00:00,1585.0,2165.0,0,0.0
2019-09-16 03:55:00+00:00,56.0,84.0,0,0.166666666666705
2019-09-16 04:00:00+00:00,568.0,458.0,0,0.0
2019-09-16 04:05:00+00:00,56.0,28.0,0,0.0
2019-09-16 04:10:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-16 04:15:00+00:00,220.0,100.0,0,0.0
2019-09-16 04:20:00+00:00,56.0,28.0,0,0.0
2019-09-16 04:25:00+00:00,56.0,28.0,0,0.166666666666657
2019-09-16 04:30:00+00:00,938.0,483.0,0,0.0
2019-09-16 04:35:00+00:00,56.0,28.0,0,0.0
2019-09-16 04:40:00+00:00,56.0,28.0,0,0.169491525423719
2019-09-16 04:45:00+00:00,450.0,261.0,0,0.0
2019-09-16 04:50:00+00:00,492.0,9317.0,0,0.0
2019-09-16 04:55:00+00:00,112.0,1188.0,0,0.166666666666657
2019-09-16 05:00:00+00:00,568.0,458.0,0,0.0
2019-09-16 05:05:00+00:00,1733.0,2237.0,0,0.163934426229545
2019-09-16 05:10:00+00:00,56.0,28.0,0,0.0
2019-09-16 05:15:00+00:00,56.0,28.0,0,0.0
2019-09-16 05:20:00+00:00,220.0,100.0,0,0.163934426229499
2019-09-16 05:25:00+00:00,220.0,100.0,0,0.0
2019-09-16 05:30:00+00:00,938.0,483.0,0,0.0
2019-09-16 05:35:00+00:00,394.0,233.0,0,0.169491525423719
2019-09-16 05:40:00+00:00,56.0,28.0,0,0.0
2019-09-16 05:45:00+00:00,56.0,28.0,0,0.0
2019-09-16 05:50:00+00:00,56.0,84.0,0,0.163934426229499
2019-09-16 05:55:00+00:00,56.0,28.0,0,0.0
2019-09-16 06:00:00+00:00,2081.0,2595.0,0,0.166666666666657
2019-09-16 06:05:00+00:00,2918.0,2733.0,0,0.0
